No.,週,勤務日,開始時刻,終了時刻,休憩時間,作業時間,プロジェクト名,種別,備考
1,16,2018-04-18,09:30,10:15,0.0,0.75,PR79602 教育部-新人教育,開発,読書
2,16,2018-04-18,10:15,12:00,0.0,1.75,PR79602 教育部-新人教育,開発,Ruby実践
3,16,2018-04-18,13:00,15:00,0.0,2.0,PR79602 教育部-新人教育,開発,Ruby実践
4,16,2018-04-18,15:00,15:15,0.0,0.25,PR79000 全社共通依頼,開発,掃除
5,16,2018-04-18,15:15,16:30,0.0,1.25,PR79602 教育部-新人教育,開発,マインドマップ入門
6,16,2018-04-18,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,コミュニケーション
7,16,2018-04-18,18:00,18:30,0.0,0.5,PR79602 教育部-新人教育,開発,終業作業
8,16,2018-04-17,09:30,10:15,0.0,0.75,PR79602 教育部-新人教育,開発,読書
9,16,2018-04-17,10:15,12:00,0.0,1.75,PR79602 教育部-新人教育,開発,予習復習
10,16,2018-04-17,13:00,16:30,0.0,3.5,PR79602 教育部-新人教育,開発,Ruby実践
11,16,2018-04-17,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,予習復習
12,16,2018-04-17,18:00,18:30,0.0,0.5,PR79602 教育部-新人教育,開発,終業作業
13,16,2018-04-16,09:30,10:00,0.0,0.5,PR79602 教育部-新人教育,開発,WBA準備
14,16,2018-04-16,10:00,11:00,0.0,1.0,PR71003 開発本部共通　WBA,開発,WBA参加
15,16,2018-04-16,11:00,12:00,0.0,1.0,PR79602 教育部-新人教育,開発,社長の言葉
16,16,2018-04-16,13:00,16:30,0.0,3.5,PR79602 教育部-新人教育,開発,マインドマップ入門
17,16,2018-04-16,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,Ruby実践
18,16,2018-04-16,18:00,18:30,0.0,0.5,PR79602 教育部-新人教育,開発,終業作業
19,15,2018-04-13,09:30,10:00,0.0,0.5,PR79602 教育部-新人教育,開発,読書
20,15,2018-04-13,10:00,11:30,0.0,1.5,PR79602 教育部-新人教育,開発,基礎
21,15,2018-04-13,12:30,14:15,0.0,1.75,PR79602 教育部-新人教育,開発,基礎
22,15,2018-04-13,14:15,16:00,0.0,1.75,PR79602 教育部-新人教育,開発,Git超入門
23,15,2018-04-13,16:00,17:30,0.0,1.5,PR79602 教育部-新人教育,開発,予習復習
24,15,2018-04-13,17:30,18:00,0.0,0.5,PR79602 教育部-新人教育,開発,アウトプット
25,15,2018-04-13,18:00,18:30,0.0,0.5,PR79602 教育部-新人教育,開発,終業作業
26,15,2018-04-12,09:30,10:15,0.0,0.75,PR79602 教育部-新人教育,開発,読書
27,15,2018-04-12,10:15,14:45,1.0,3.5,PR79602 教育部-新人教育,開発,Ruby入門
28,15,2018-04-12,14:45,16:30,0.0,1.75,PR79602 教育部-新人教育,開発,予習復習
29,15,2018-04-12,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,７つの習慣
30,15,2018-04-12,18:00,18:30,0.0,0.5,PR79602 教育部-新人教育,開発,終業作業
31,15,2018-04-11,09:30,10:15,0.0,0.75,PR79602 教育部-新人教育,開発,読書
32,15,2018-04-11,10:15,14:45,1.0,3.5,PR79602 教育部-新人教育,開発,Ruby入門
33,15,2018-04-11,14:45,16:30,0.0,1.75,PR79602 教育部-新人教育,開発,予習復習
34,15,2018-04-11,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,コミュニケーション
35,15,2018-04-11,18:00,18:30,0.0,0.5,PR79602 教育部-新人教育,開発,終業作業
36,15,2018-04-10,09:30,10:15,0.0,0.75,PR79602 教育部-新人教育,開発,読書
37,15,2018-04-10,10:15,12:00,0.0,1.75,PR79602 教育部-新人教育,開発,予習復習
38,15,2018-04-10,13:00,16:30,0.0,3.5,PR79602 教育部-新人教育,開発,Ruby入門
39,15,2018-04-10,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,予習復習
40,15,2018-04-10,18:00,18:30,0.0,0.5,PR79602 教育部-新人教育,開発,終業作業
41,15,2018-04-09,09:30,09:45,0.0,0.25,PR79602 教育部-新人教育,開発,読書
42,15,2018-04-09,09:45,10:00,0.0,0.25,PR71003 開発本部共通　WBA,開発,WBA準備
43,15,2018-04-09,10:00,11:30,0.0,1.5,PR71003 開発本部共通　WBA,開発,WBA参加
44,15,2018-04-09,11:30,12:15,0.0,0.75,PR12308 【ttc】社長の想い共有会,開発,社長の想い共有会
45,15,2018-04-09,13:00,16:30,0.0,3.5,PR79602 教育部-新人教育,開発,Ruby入門
46,15,2018-04-09,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,Git超入門
47,15,2018-04-09,18:00,18:45,0.0,0.75,PR79602 教育部-新人教育,開発,終業作業
48,14,2018-04-06,09:30,10:00,0.0,0.5,PR79602 教育部-新人教育,開発,PP作成
49,14,2018-04-06,10:00,11:30,0.0,1.5,PR79602 教育部-新人教育,開発,WBA用資料作成
50,14,2018-04-06,12:30,14:15,0.0,1.75,PR79602 教育部-新人教育,開発,ATOM入門
51,14,2018-04-06,14:15,16:00,0.0,1.75,PR79602 教育部-新人教育,開発,Ruby入門
52,14,2018-04-06,16:00,17:30,0.0,1.5,PR79602 教育部-新人教育,開発,IT業界入門
53,14,2018-04-06,17:30,18:30,0.0,1.0,PR79602 教育部-新人教育,開発,終業作業
54,14,2018-04-05,09:30,19:45,1.0,9.25,PR79602 教育部-新人教育,開発,社外研修
55,14,2018-04-04,09:30,19:45,1.0,9.25,PR79602 教育部-新人教育,開発,社外マナー研修
56,14,2018-04-03,09:30,10:15,0.0,0.75,PR79602 教育部-新人教育,開発,読書
57,14,2018-04-03,10:15,12:00,0.0,1.75,PR79602 教育部-新人教育,開発,業務の流れ
58,14,2018-04-03,13:00,14:45,0.0,1.75,PR79602 教育部-新人教育,開発,電話対応
59,14,2018-04-03,14:45,16:30,0.0,1.75,PR79602 教育部-新人教育,開発,オリエンテーション
60,14,2018-04-03,16:30,18:00,0.0,1.5,PR79602 教育部-新人教育,開発,メール対応
61,14,2018-04-03,18:00,18:15,0.0,0.25,PR79602 教育部-新人教育,開発,木鶏会の説明
62,14,2018-04-03,18:15,18:30,0.0,0.25,PR79602 教育部-新人教育,開発,日報の作成
63,14,2018-04-02,09:30,10:15,0.0,0.75,PR79602 教育部-新人教育,開発,入社式、自己紹介
64,14,2018-04-02,10:15,11:30,0.0,1.25,PR79602 教育部-新人教育,開発,セキュリティ教育
65,14,2018-04-02,12:30,16:00,0.0,3.5,PR79602 教育部-新人教育,開発,友の会、就業規則説明、事務手続き
66,14,2018-04-02,16:00,18:15,0.0,2.25,PR79602 教育部-新人教育,開発,端末設定
67,14,2018-04-02,18:15,18:30,0.0,0.25,PR79602 教育部-新人教育,開発,日報の作成
